Ia	Ib	Ic	Id	Ie	If	Ih	Ik	Iv	IIa	IIb	IIc	IIe	IIf	IIh	IIj	IIk	IIv	IIIc	IIIh	IVa	IVj	VIb	VIc	VIk	VIo	VIu	VIIa	VIIb	VIIc	VIIe	VIIf	VIIh	VIIi	VIIj	VIIk	VIIm	VIIn	VIIt	Xk	XIa	XIj	XIIa	XIVa	XIVb	XIVc	XIVd	XIVf	XIVh	XIVi	XIVj	XIVk	XIVs	XVa	XVk	XVIa	XVIc	XVIk
Karenia mikimotoi NEPCC 665 (N)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	9	0	0	0	0	0
Karlodinium micrum NEPCC 734 (N)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0
Lingulodinium polyedrum CCMP 1738 (N)	0	0	0	0	0	0	0	0	0	11	0	0	0	77	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oxyrrhis marina (K)	0	0	3	0	0	0	10	0	0	56	0	0	0	20	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Peridinium aciculiferum PAER-1 (S)	24	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1	0	0	0	0	48.5	12	0	0	0	0	0	9.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kryptoperidinium foliaceum UTEX 1688 (N)	0	0	0	0	0	0	0	0	0	41	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Peridinium sociale UTEX 1948 (T)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2	0	0	0	0	0	0	0	88.5	0	0	0	0	7.2	1.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Peridinium williei (T)	0	0	0	0	0	0	0	0	0	27.9	0	1.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	30	0	0	35.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pfiesteria piscicida CCMP1834 (P)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	1	0	14	34	6	0	0	0	1	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0
Pfiesteria piscicida CCMP 1921 (P)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	3	0	10	31	6	0	0	0	1	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
Polarella glacialis FL1B (Q)	0	0	0	0	0	0	0	0	0	0	0	0	0	64	7	0	5	0	0	0	0	0	0	0	0	0	0	0	3	18	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prorocentrum balticum NIOZ1 (M)	0	0	0	0	0	0	0	0	0	2	0	0	0	4	17	0	5	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3	0	6	47	0	0	5	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Prorocentrum balticum NIOZ2 (M)	0	0	0	0	0	0	0	0	0	2	0	0	0	2	15	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	16	42	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Prorocentrum hoffmannianum CCMP 683 (N)	0	0	0	0	0	0	0	0	0	29	0	0	0	0	3	0	13	0	0	0	0	0	0	0	2	0	0	22	0	0	0	0	2	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prorocentrum mexicanum USFDA (N)	0	0	0	0	0	0	0	2	0	37	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	2	0	2	25	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prorocentrum mexicanum CSIRO (M)	0	0	0	0	0	0	0	3	0	48	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prorocentrum micans UTEX 1003 (N)	0	0	0	0	0	0	0	1	0	43	0	0	0	0	1	0	12	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	25	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prorocentrum micans UTEX 1993 (N)	0	0	0	0	0	0	0	11	0	39	6	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	1	0	17	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prorocentrum micans P1 (J)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	6	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prorocentrum micans CSIRO (M)	0	0	0	0	0	0	0	13	0	44	0	0	0	0	2	2	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	18	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prorocentrum micans NIOZ (M)	0	0	0	0	0	0	0	2	0	32	0	0	3	0	1	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	24	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prorocentrum minimum CCMP 1529 (N)	0	0	0	0	0	0	0	0	0	0	37	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	50	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prorocentrum minimum UTEX 1995 (N)	0	0	0	0	0	0	0	2	0	0	40	0	0	0	1	0	24	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	27	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prorocentrum minimum NIOZ (M)	0	0	0	0	0	0	0	2	0	0	38	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3	0	0	28	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prorocentrum triestinum UTEX 1657 (N)	0	0	0	0	0	0	0	37	0	36	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	1	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protoceratium reticulatum CCMP 1889 (T)	2	0	0	0	0	0	0	0	0	7.4	0	0	0	55.8	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9	0	1.5	0	3.4	7.7	0	0	8.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pyrocystis fusiformis NOAA (T)	0	0	0	0	0	0	0	0	0	7.5	0	3.5	0	0	3.1	0	6.1	0	0	0	0	0	0	0	0	0	0	0	0	40.9	0	0	2.5	0	0	33.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pyrocystis fusiformis Scripps (T)	0	0	0	0	0	0	0	0	0	5.1	0	1.7	0	0	3.1	0	4.3	0	0	0	0	0	0	0	0	0	0	0	0	25.5	0	0	1.9	0	0	59.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pyrocystis lunula UTEX 2166 (D)	7.5	0	3	0	0	0.2	1.1	4.6	0.8	27	0	2.2	0	0.6	0.4	0	5.1	0.4	0	0	0	0	0	0	0	0	0	2.6	0	29.4	0	0	3.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.7	1.3	2.3
Pyrocystis lunula UTEX 2166 (N)	10	0	3	0	0	0	0	3	0	35	0	0	0	1	1	0	4	0	0	0	0	0	0	0	0	0	0	6	0	31	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pyrocystis lunula UTEX 2271 (N)	9	0	2	0	0	0	0	3	0	32	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	40	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pyrocystis noctiluca PP7 (T)	0	0	0	0	0	0	0	0	0	3.9	0	1	0	0	1	0	4.1	0	0	0	0	0	0	0	0	0	0	0	0	2.4	0	0	1.3	0	0	86.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pyrocystis noctiluca Scripps (T)	0	0	0	0	0	0	0	0	0	3.8	0	1.6	0	0	2.5	0	7.1	0	0	0	0	0	0	0	0	0	0	0	0	4.4	0	0	2.6	0	0	78.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
